Category,Transcript,Call_ID,Customer_Satisfaction_Rating
Long Wait Times,How much longer will I have to wait for my results?,356752,1
Long Wait Times,Can you explain why there's always a delay in this office?,517530,4
Long Wait Times,"Every time I come here, the appointments never start on time.",738186,5
Long Wait Times,This wait time is unacceptable.,384241,1
Long Wait Times,I've been waiting for over an hour to see the doctor.,470361,5
Long Wait Times,This wait time is unacceptable.,237572,3
Long Wait Times,This wait time is unacceptable.,677928,1
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,278202,1
Long Wait Times,Can you explain why there's always a delay in this office?,253688,5
Long Wait Times,I've spent my whole afternoon waiting for this.,620447,2
Long Wait Times,How much longer will I have to wait for my results?,794254,1
Long Wait Times,Why is there such a long delay for lab tests?,608336,1
Long Wait Times,This wait time is unacceptable.,702309,3
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,481146,4
Long Wait Times,Why is there such a long delay for lab tests?,393983,2
Long Wait Times,How much longer will I have to wait for my results?,474273,3
Long Wait Times,"Every time I come here, the appointments never start on time.",137538,4
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,568426,2
Long Wait Times,This wait time is unacceptable.,727792,2
Long Wait Times,Why is there such a long delay for lab tests?,242107,1
Long Wait Times,Can you explain why there's always a delay in this office?,616488,1
Long Wait Times,I've spent my whole afternoon waiting for this.,238531,3
Long Wait Times,Can you explain why there's always a delay in this office?,914786,4
Long Wait Times,Can you explain why there's always a delay in this office?,975496,5
Long Wait Times,This wait time is unacceptable.,152543,1
Long Wait Times,How much longer will I have to wait for my results?,997591,4
Long Wait Times,Why is there such a long delay for lab tests?,234068,5
Long Wait Times,Can you explain why there's always a delay in this office?,974262,5
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",561027,4
Long Wait Times,Why is there such a long delay for lab tests?,565139,3
Long Wait Times,"Every time I come here, the appointments never start on time.",624252,4
Long Wait Times,Can you explain why there's always a delay in this office?,872095,2
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,635850,5
Long Wait Times,I've spent my whole afternoon waiting for this.,819624,4
Long Wait Times,Can you explain why there's always a delay in this office?,103473,4
Long Wait Times,Can you explain why there's always a delay in this office?,370982,1
Long Wait Times,I've been waiting for over an hour to see the doctor.,824087,1
Long Wait Times,Why is there such a long delay for lab tests?,190427,3
Long Wait Times,How much longer will I have to wait for my results?,546392,2
Long Wait Times,This wait time is unacceptable.,930625,4
Long Wait Times,Why is there such a long delay for lab tests?,191101,3
Long Wait Times,I've spent my whole afternoon waiting for this.,454107,1
Long Wait Times,Can you explain why there's always a delay in this office?,343785,3
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",514633,2
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",733794,1
Long Wait Times,Why do my test results always take so long?,714768,3
Long Wait Times,"Every time I come here, the appointments never start on time.",481128,4
Long Wait Times,I've been waiting for over an hour to see the doctor.,718768,4
Long Wait Times,I've been waiting for over an hour to see the doctor.,441806,4
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,753795,4
Long Wait Times,Why do my test results always take so long?,703484,2
Long Wait Times,"Every time I come here, the appointments never start on time.",341254,3
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,694586,4
Long Wait Times,I've been waiting for over an hour to see the doctor.,142036,5
Long Wait Times,"Every time I come here, the appointments never start on time.",471314,1
Long Wait Times,Why is there such a long delay for lab tests?,916073,3
Long Wait Times,I've spent my whole afternoon waiting for this.,142318,4
Long Wait Times,"Every time I come here, the appointments never start on time.",214707,1
Long Wait Times,Can you explain why there's always a delay in this office?,982163,2
Long Wait Times,How much longer will I have to wait for my results?,609987,1
Long Wait Times,"Every time I come here, the appointments never start on time.",149407,2
Long Wait Times,"Every time I come here, the appointments never start on time.",496805,2
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",433552,2
Long Wait Times,How much longer will I have to wait for my results?,474888,3
Long Wait Times,This wait time is unacceptable.,604691,3
Long Wait Times,I had to wait two weeks for an appointment and now another hour here.,161799,5
Long Wait Times,"Every time I come here, the appointments never start on time.",743057,5
Long Wait Times,I've spent my whole afternoon waiting for this.,689933,3
Long Wait Times,Why is there such a long delay for lab tests?,749067,4
Long Wait Times,I've spent my whole afternoon waiting for this.,838135,5
Long Wait Times,"Every time I come here, the appointments never start on time.",802817,3
Long Wait Times,I've spent my whole afternoon waiting for this.,288309,3
Long Wait Times,Can you explain why there's always a delay in this office?,440894,3
Long Wait Times,I've been waiting for over an hour to see the doctor.,136742,2
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",766626,2
Long Wait Times,"My appointment was scheduled for 10 AM, and it's already 11:30.",953638,5
Long Wait Times,Why do my test results always take so long?,196974,2
Long Wait Times,Why is there such a long delay for lab tests?,231533,5
Long Wait Times,Can you explain why there's always a delay in this office?,197609,5
Long Wait Times,I've been waiting for over an hour to see the doctor.,410849,1
